State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,4,3080,Fredonia-Moccasin Unified District,"3,006",452,74
AZ,4,3240,Gadsden Elementary District,"27,597","4,410","1,514"
AZ,4,3290,Ganado Unified District,"7,216","1,515",767
AZ,4,3310,Gila Bend Unified District,"2,835",536,180
AZ,4,3400,Gilbert Unified District,"216,700","45,234","3,238"
AZ,4,3420,Glendale Elementary District,"114,640","16,604","4,926"
AZ,4,3450,Glendale Union High School District,"379,885","20,698","4,403"
AZ,4,3500,Globe Unified District,"10,704","1,650",398
AZ,4,3550,Grand Canyon Unified District,"2,804",198,19
AZ,4,3660,Hackberry School District,"1,280",96,21
AZ,4,3730,Hayden-Winkelman Unified District,"1,353",200,47
AZ,4,26,Heber-Overgaard Unified District,"4,225",478,120
AZ,4,3780,Higley Unified District,"76,030","16,224",960
AZ,4,8460,Hillside Elementary District,144,22,5
AZ,4,3820,Holbrook Unified District,"10,876","2,235",682
AZ,4,3870,Humboldt Unified District,"56,933","8,175","1,198"
AZ,4,3900,Hyder Elementary District,803,111,29
AZ,4,3950,Indian Oasis-Baboquivari Unified District,"7,664","1,620",640
AZ,4,3960,Isaac Elementary District,"50,647","8,437","2,903"
AZ,4,3990,J. O. Combs Unified School District,"42,943","9,418",812
AZ,4,4010,Joseph City Unified District,"1,849",416,94
AZ,4,4060,Kayenta Unified District,"10,811","2,559","1,155"
AZ,4,295,Kingman Unified School District,"69,297","8,339","2,045"
AZ,4,4170,Kirkland Elementary District,"1,258",139,47
AZ,4,4200,Klondyke Elementary District,69,6,4
AZ,4,4230,Kyrene Elementary District,"176,973","19,493","1,484"
AZ,4,4280,Lake Havasu Unified District,"58,859","6,360","1,342"
AZ,4,4290,Laveen Elementary District,"48,105","7,257","1,352"
AZ,4,4320,Liberty Elementary District,"28,142","4,214",473
AZ,4,4380,Litchfield Elementary District,"89,407","11,837","1,025"
AZ,4,4410,Littlefield Unified District,"4,162",560,201
AZ,4,4440,Littleton Elementary District,"45,918","7,060","1,190"
AZ,4,4500,Madison Elementary District,"64,879","5,483",702
AZ,4,4530,Maine Consolidated School District,"1,363",153,10
AZ,4,4570,Mammoth-San Manuel Unified District,"6,726","1,197",266
AZ,4,4630,Marana Unified District,"92,549","15,334","1,396"
AZ,4,4720,Maricopa Unified School District,"58,241","11,465","1,371"
AZ,4,4820,Mayer Unified District,"6,331",694,195
AZ,4,4860,McNary Elementary District,552,149,64
AZ,4,4920,McNeal Elementary District,486,102,19
AZ,4,4970,Mesa Unified District,"533,228","85,363","14,940"
AZ,4,5030,Miami Unified District,"7,606","1,229",419
AZ,4,5070,Mingus Union High School District,"37,008","1,448",312
AZ,4,5100,Mobile Elementary District,146,26,9
AZ,4,5190,Mohave Valley Elementary District,"23,020","1,874",451
AZ,4,5220,Mohawk Valley Elementary District,"1,742",176,41
AZ,4,5320,Morenci Unified District,"6,423","1,277",117
AZ,4,5340,Morristown Elementary District,"2,111",286,27
AZ,4,5400,Murphy Elementary District,"20,285","2,209",663
AZ,4,5430,Naco Elementary District,"1,440",363,110
AZ,4,5460,Nadaburg Unified School District,"9,557","1,809",225
AZ,4,5530,Nogales Unified District,"21,797","4,447","1,345"
AZ,4,5640,Oracle Elementary District,"16,777","1,098",102
AZ,4,5670,Osborn Elementary District,"43,273","4,083","1,045"
AZ,4,5730,Owens-Whitney Elementary District,644,55,9
AZ,4,5820,Page Unified District,"13,922","2,826",576
AZ,4,5850,Palo Verde Elementary District,"3,218",469,109
AZ,4,8430,Paloma School District,354,87,39
AZ,4,5880,Palominas Elementary District,"10,086","1,609",220
AZ,4,5930,Paradise Valley Unified District,"281,843","42,206","4,602"
AZ,4,5980,Parker Unified School District,"9,857","1,654",565
AZ,4,6000,Patagonia Elementary District,"1,509",117,19
AZ,4,6030,Patagonia Union High School District,"3,322",119,32
AZ,4,6070,Payson Unified District,"21,809","2,708",709
AZ,4,6120,Peach Springs Unified District,"1,384",275,100
AZ,4,6150,Pearce Elementary District,"1,985",112,24
AZ,4,6210,Pendergast Elementary District,"78,631","11,712","2,434"
AZ,4,6250,Peoria Unified School District,"244,586","41,209","4,852"
AZ,4,6300,Phoenix Elementary District,"64,748","7,227","2,279"
AZ,4,6330,Phoenix Union High School District,"766,840","44,407","10,987"
AZ,4,6360,Picacho Elementary District,"10,179",140,45
AZ,4,6440,Pima Unified District,"3,909",919,227
AZ,4,6510,Pine Strawberry Elementary District,"2,973",221,40
AZ,4,23,Pinon Unified District,"7,308","1,747",664
AZ,4,6630,Pomerene Elementary District,968,159,35
AZ,4,6730,Prescott Unified District,"60,847","5,546",728
AZ,4,6780,Quartzsite Elementary District,"6,346",295,77
AZ,4,6810,Queen Creek Unified District,"30,937","7,188",359
AZ,4,6850,Ray Unified District,"4,701",800,118
AZ,4,6870,Red Mesa Unified District,"8,651","1,935",906
AZ,4,6900,Red Rock Elementary District,"4,143",616,96
AZ,4,6930,Redington Elementary District,103,15,0
AZ,4,7020,Riverside Elementary District,"7,934","1,375",327
AZ,4,7080,Roosevelt Elementary District,"119,711","17,536","4,667"
AZ,4,7130,Round Valley Unified District,"8,210","1,387",360
AZ,4,7140,Rucker Elementary District,26,0,0
AZ,4,7200,Sacaton Elementary District,"8,093","1,270",494
AZ,4,7170,Saddle Mountain Unified School District,"10,365","2,139",353
AZ,4,7240,Safford Unified District,"17,405","3,339",796
AZ,4,7300,Sahuarita Unified District,"28,859","5,726",495
AZ,4,5,Salome Consolidated Elementary District,"2,849",129,67
AZ,4,6960,San Carlos Unified District,"8,157","2,038",762
AZ,4,7380,San Fernando Elementary District,56,6,0
AZ,4,7430,San Simon Unified District,658,79,8
AZ,4,6740,Sanders Unified District,"5,930","1,273",543
AZ,4,7500,Santa Cruz Elementary District,"1,668",374,61
AZ,4,7520,Santa Cruz Valley Unified District,"19,698","3,987",891
AZ,4,7530,Santa Cruz Valley Union High School District,"22,502",762,244
AZ,4,7570,Scottsdale Unified District,"258,953","33,247","2,588"
AZ,4,9733,Sedona-Oak Creek Joint Unified District,"16,066","1,243",161
AZ,4,7630,Seligman Unified District,"1,465",140,25
AZ,4,7680,Sentinel Elementary District,150,27,3
AZ,4,7700,Show Low Unified District,"16,822","2,638",798
AZ,4,1460,Sierra Vista Unified District,"46,942","7,066","1,449"
AZ,4,7770,Skull Valley Elementary District,681,106,15
AZ,4,7820,Snowflake Unified District,"12,634","2,658",627
AZ,4,7860,Solomon Elementary District,"3,000",387,69
AZ,4,7890,Somerton Elementary District,"23,567","3,244","1,195"
AZ,4,7920,Sonoita Elementary District,"1,813",112,15
AZ,4,8020,St. David Unified District,"3,531",503,98
AZ,4,8080,St. Johns Unified District,"4,218",779,283
AZ,4,8130,Stanfield Elementary District,"6,393",855,135
AZ,4,8170,Sunnyside Unified District,"93,780","19,512","4,878"
AZ,4,8230,Superior Unified School District,"4,146",615,197
AZ,4,8280,Tanque Verde Unified District,"12,264","1,899",74
AZ,4,8310,Tempe School District,"168,627","13,190","2,752"
AZ,4,8340,Tempe Union High School District,"345,599","16,173","1,534"
AZ,4,8410,Thatcher Unified District,"7,740","1,524",285
AZ,4,8490,Tolleson Elementary District,"17,686","2,833",719
AZ,4,8520,Tolleson Union High School District,"193,601","12,772","2,086"
AZ,4,8550,Toltec Elementary District,"17,481","2,051",447
AZ,4,8600,Tombstone Unified District,"7,330","1,028",278
AZ,4,5760,Tonto Basin Elementary District,"1,647",102,22
AZ,4,8640,Topock Elementary District,"2,651",147,36
AZ,4,8680,Tuba City Unified District,"17,143","3,616",971
AZ,4,8800,Tucson Unified District,"504,979","72,229","14,289"
AZ,4,8820,Union Elementary District,"16,403","2,892",474
AZ,4,8850,Vail Unified District,"56,124","10,876",607
AZ,4,8880,Valentine Elementary District,264,36,9
AZ,4,8910,Valley Union High School District,"3,735",170,21
AZ,4,22,Vernon Elementary District,"1,941",259,71
AZ,4,9030,Walnut Grove Elementary District,114,1,0
AZ,4,9060,Washington Elementary District,"265,245","29,614","7,354"
AZ,4,9090,Wellton Elementary District,"4,419",358,122
AZ,4,9120,Wenden Elementary District,838,101,33
AZ,4,9160,Whiteriver Unified District,"13,224","2,987","1,230"
AZ,4,9190,Wickenburg Unified District,"13,136","1,445",231
AZ,4,9250,Willcox Unified District,"8,181","1,460",274
AZ,4,9310,Williams Unified District,"6,130",876,229
AZ,4,9360,Williamson Valley Elementary School District,671,56,16
AZ,4,9390,Wilson Elementary District,"4,679",657,214
AZ,4,9430,Window Rock Unified District,"11,906","2,411","1,075"
AZ,4,9460,Winslow Unified District,"11,933","2,136",604
AZ,4,9510,Yarnell Elementary District,"1,317",65,15
AZ,4,9540,Young Elementary School District,892,95,23
AZ,4,9570,Yucca Elementary District,727,45,11
AZ,4,9600,Yuma Elementary District,"108,388","10,943","2,851"
AZ,4,9630,Yuma Union High School District,"206,823","12,181","3,370"
AR,5,2250,Alma School District,"16,405","3,082",626
AR,5,2280,Alpena School District,"3,012",540,128
AR,5,2430,Arkadelphia School District,"15,790","1,951",421
AR,5,2550,Armorel School District,"1,301",292,57
AR,5,2580,Ashdown School District,"9,065","1,481",381
AR,5,2610,Atkins Public Schools,"6,860","1,198",246
AR,5,2670,Augusta School District,"3,097",458,185
AR,5,2700,Bald Knob School District,"7,452","1,358",323
AR,5,2730,Barton-Lexa School District,"2,643",484,138
AR,5,19,Batesville School District,"20,195","3,492",637
AR,5,2790,Bauxite School District,"6,950","1,289",161
AR,5,2820,Bay School District,"3,354",601,98
AR,5,32,Bearden School District,"3,206",510,140
AR,5,2880,Beebe School District,"17,807","3,453",571
